fecha_ini,file_input,file_ext,names,radar_id,range,volumen,estrategia,variable,config,state,file_output
2021-04-09 18:44:51,/data/OBS/radar/RMA7/2021/04/09/18/4451/RMA7_0200_01_DBZH_20210409T184451Z.H5,H5,RMA7_0200_01_DBZH_20210409T184451Z.H5,RMA7,240,01,0200,reflectivity,tiempoReal,P,/data/OBS/qc-radar//cfrad.20210409_184451.RMA7_0200_01.nc
2021-04-09 18:26:40,/data/OBS/radar/RMA7/2021/04/09/18/2640/RMA7_0200_01_DBZH_20210409T182640Z.H5,H5,RMA7_0200_01_DBZH_20210409T182640Z.H5,RMA7,240,01,0200,reflectivity,tiempoReal,P,/data/OBS/qc-radar//cfrad.20210409_182640.RMA7_0200_01.nc
2021-04-09 18:30:03,/data/OBS/radar/ANG/240/2021040918300300dBZ.vol,vol,2021040918300300dBZ.vol,ANG,240,IN,0240,reflectivity,tiempoReal,P,/data/OBS/qc-radar//cfrad.20210409_183003.ANG_0240_IN.nc
2021-04-09 18:50:03,/data/OBS/radar/ANG/240/2021040918500300RhoHV.vol,vol,2021040918500300RhoHV.vol,ANG,240,IN,0240,cross_correlation_ratio,tiempoReal,P,/data/OBS/qc-radar//cfrad.20210409_185003.ANG_0240_IN.nc
2021-04-09 18:40:06,/data/OBS/radar/ANG/240/2021040918400600dBZ.vol,vol,2021040918400600dBZ.vol,ANG,240,IN,0240,reflectivity,tiempoReal,P,/data/OBS/qc-radar//cfrad.20210409_184006.ANG_0240_IN.nc
2021-04-09 18:40:06,/data/OBS/radar/ANG/240/2021040918400600RhoHV.vol,vol,2021040918400600RhoHV.vol,ANG,240,IN,0240,cross_correlation_ratio,tiempoReal,P,/data/OBS/qc-radar//cfrad.20210409_184006.ANG_0240_IN.nc
2021-04-09 18:50:03,/data/OBS/radar/ANG/240/2021040918500300dBZ.vol,vol,2021040918500300dBZ.vol,ANG,240,IN,0240,reflectivity,tiempoReal,P,/data/OBS/qc-radar//cfrad.20210409_185003.ANG_0240_IN.nc
2021-04-09 18:30:03,/data/OBS/radar/ANG/240/2021040918300300RhoHV.vol,vol,2021040918300300RhoHV.vol,ANG,240,IN,0240,cross_correlation_ratio,tiempoReal,P,/data/OBS/qc-radar//cfrad.20210409_183003.ANG_0240_IN.nc
2021-04-09 18:34:26,/data/OBS/radar/ANG/120/2021040918342600RhoHV.vol,vol,2021040918342600RhoHV.vol,ANG,120,IN,0120,cross_correlation_ratio,tiempoReal,P,/data/OBS/qc-radar//cfrad.20210409_183426.ANG_0120_IN.nc
2021-04-09 18:54:26,/data/OBS/radar/ANG/120/2021040918542600dBZ.vol,vol,2021040918542600dBZ.vol,ANG,120,IN,0120,reflectivity,tiempoReal,P,/data/OBS/qc-radar//cfrad.20210409_185426.ANG_0120_IN.nc
2021-04-09 18:44:29,/data/OBS/radar/ANG/120/2021040918442900RhoHV.vol,vol,2021040918442900RhoHV.vol,ANG,120,IN,0120,cross_correlation_ratio,tiempoReal,P,/data/OBS/qc-radar//cfrad.20210409_184429.ANG_0120_IN.nc
2021-04-09 18:44:29,/data/OBS/radar/ANG/120/2021040918442900dBZ.vol,vol,2021040918442900dBZ.vol,ANG,120,IN,0120,reflectivity,tiempoReal,P,/data/OBS/qc-radar//cfrad.20210409_184429.ANG_0120_IN.nc
2021-04-09 18:54:26,/data/OBS/radar/ANG/120/2021040918542600RhoHV.vol,vol,2021040918542600RhoHV.vol,ANG,120,IN,0120,cross_correlation_ratio,tiempoReal,P,/data/OBS/qc-radar//cfrad.20210409_185426.ANG_0120_IN.nc
2021-04-09 18:34:26,/data/OBS/radar/ANG/120/2021040918342600dBZ.vol,vol,2021040918342600dBZ.vol,ANG,120,IN,0120,reflectivity,tiempoReal,P,/data/OBS/qc-radar//cfrad.20210409_183426.ANG_0120_IN.nc
2021-04-09 18:44:44,/data/OBS/radar/RMA8/2021/04/09/18/4444/RMA8_0200_01_DBZH_20210409T184444Z.H5,H5,RMA8_0200_01_DBZH_20210409T184444Z.H5,RMA8,240,01,0200,reflectivity,tiempoReal,P,/data/OBS/qc-radar//cfrad.20210409_184444.RMA8_0200_01.nc
2021-04-09 18:26:26,/data/OBS/radar/RMA8/2021/04/09/18/2626/RMA8_0200_01_DBZH_20210409T182626Z.H5,H5,RMA8_0200_01_DBZH_20210409T182626Z.H5,RMA8,240,01,0200,reflectivity,tiempoReal,P,/data/OBS/qc-radar//cfrad.20210409_182626.RMA8_0200_01.nc
2021-04-09 18:53:31,/data/OBS/radar/RMA8/2021/04/09/18/5331/RMA8_0200_01_DBZH_20210409T185331Z.H5,H5,RMA8_0200_01_DBZH_20210409T185331Z.H5,RMA8,240,01,0200,reflectivity,tiempoReal,P,/data/OBS/qc-radar//cfrad.20210409_185331.RMA8_0200_01.nc
2021-04-09 18:35:13,/data/OBS/radar/RMA8/2021/04/09/18/3513/RMA8_0200_01_DBZH_20210409T183513Z.H5,H5,RMA8_0200_01_DBZH_20210409T183513Z.H5,RMA8,240,01,0200,reflectivity,tiempoReal,P,/data/OBS/qc-radar//cfrad.20210409_183513.RMA8_0200_01.nc
2021-04-09 18:25:21,/data/OBS/radar/RMA11/2021/04/09/18/2521/RMA11_0200_01_DBZH_20210409T182521Z.H5,H5,RMA11_0200_01_DBZH_20210409T182521Z.H5,RMA11,240,01,0200,reflectivity,tiempoReal,P,/data/OBS/qc-radar//cfrad.20210409_182521.RMA11_0200_01.nc
2021-04-09 18:34:09,/data/OBS/radar/RMA11/2021/04/09/18/3409/RMA11_0200_01_DBZH_20210409T183409Z.H5,H5,RMA11_0200_01_DBZH_20210409T183409Z.H5,RMA11,240,01,0200,reflectivity,tiempoReal,P,/data/OBS/qc-radar//cfrad.20210409_183409.RMA11_0200_01.nc
2021-04-09 18:52:32,/data/OBS/radar/RMA11/2021/04/09/18/5232/RMA11_0200_01_DBZH_20210409T185232Z.H5,H5,RMA11_0200_01_DBZH_20210409T185232Z.H5,RMA11,240,01,0200,reflectivity,tiempoReal,P,/data/OBS/qc-radar//cfrad.20210409_185232.RMA11_0200_01.nc
2021-04-09 18:43:44,/data/OBS/radar/RMA11/2021/04/09/18/4344/RMA11_0200_01_DBZH_20210409T184344Z.H5,H5,RMA11_0200_01_DBZH_20210409T184344Z.H5,RMA11,240,01,0200,reflectivity,tiempoReal,P,/data/OBS/qc-radar//cfrad.20210409_184344.RMA11_0200_01.nc
2021-04-09 18:28:45,/data/OBS/radar/RMA9/2021/04/09/18/2845/RMA9_0200_01_DBZH_20210409T182845Z.H5,H5,RMA9_0200_01_DBZH_20210409T182845Z.H5,RMA9,240,01,0200,reflectivity,tiempoReal,P,/data/OBS/qc-radar//cfrad.20210409_182845.RMA9_0200_01.nc
2021-04-09 18:37:37,/data/OBS/radar/RMA9/2021/04/09/18/3737/RMA9_0200_01_DBZH_20210409T183737Z.H5,H5,RMA9_0200_01_DBZH_20210409T183737Z.H5,RMA9,240,01,0200,reflectivity,tiempoReal,P,/data/OBS/qc-radar//cfrad.20210409_183737.RMA9_0200_01.nc
2021-04-09 18:41:36,/data/OBS/radar/RMA2/2021/04/09/18/4136/RMA2_0200_01_DBZH_20210409T184136Z.H5,H5,RMA2_0200_01_DBZH_20210409T184136Z.H5,RMA2,240,01,0200,reflectivity,tiempoReal,P,/data/OBS/qc-radar//cfrad.20210409_184136.RMA2_0200_01.nc
2021-04-09 18:50:23,/data/OBS/radar/RMA2/2021/04/09/18/5023/RMA2_0200_01_DBZH_20210409T185023Z.H5,H5,RMA2_0200_01_DBZH_20210409T185023Z.H5,RMA2,240,01,0200,reflectivity,tiempoReal,P,/data/OBS/qc-radar//cfrad.20210409_185023.RMA2_0200_01.nc
2021-04-09 18:32:50,/data/OBS/radar/RMA2/2021/04/09/18/3250/RMA2_0200_01_DBZH_20210409T183250Z.H5,H5,RMA2_0200_01_DBZH_20210409T183250Z.H5,RMA2,240,01,0200,reflectivity,tiempoReal,P,/data/OBS/qc-radar//cfrad.20210409_183250.RMA2_0200_01.nc
2021-04-09 18:24:02,/data/OBS/radar/RMA2/2021/04/09/18/2402/RMA2_0200_01_DBZH_20210409T182402Z.H5,H5,RMA2_0200_01_DBZH_20210409T182402Z.H5,RMA2,240,01,0200,reflectivity,tiempoReal,P,/data/OBS/qc-radar//cfrad.20210409_182402.RMA2_0200_01.nc
